number,player,pts,k,k_per_set,ae,ta,pct,a,a_per_set,sa,sa_per_set,se
22,Julia Hanson,4.5,4.1,4.1,0.6,9.8,.306,0.1,0.1,0.3,0.3,0.4
33,Kelly Kinney,2.5,2.1,2.4,0.4,6.1,.203,0.1,0.1,0.2,0.3,0.3
7,Carly Gilk,2.5,2.1,2.3,0.4,4.9,.290,0.3,0.3,0.2,0.3,0.4
24,Alex Acevedo,2.5,2.2,2.6,0.3,5.9,.281,0.1,0.1,0.3,0.4,0.2
20,Lourdes Myers,2.1,1.7,1.7,0.3,3.6,.336,0.0,0.0,0.0,0.0,0.1
8,Calissa Minatee,1.9,1.5,1.7,0.3,2.9,.427,0.1,0.1,0.0,0.0,0.0
15,Jordan Taylor,1.6,1.2,1.3,0.2,2.8,.346,0.0,0.0,0.0,0.0,0.0
1,Stella Swenson,1.0,0.6,0.6,0.1,1.7,.242,9.8,9.8,0.3,0.3,0.3
4,Lauren Crowl,0.3,0.2,0.3,0.1,0.9,.132,0.0,0.0,0.0,0.0,0.0
12,Zeynep Palabiyik,0.2,0.0,0.0,0.0,0.1,.000,0.9,0.9,0.2,0.2,0.3
11,Chloe Ng,0.2,0.0,0.0,0.0,0.0,-,0.0,0.0,0.2,0.5,0.2
10,Georgia Lee,0.2,0.0,0.0,0.0,0.0,.000,0.2,0.2,0.2,0.2,0.2
5,McKenna Garr,0.2,0.0,0.0,0.0,0.0,.000,0.8,0.8,0.2,0.2,0.2
6,Kate Thibault,0.1,0.0,0.0,0.0,0.1,.250,0.4,0.4,0.1,0.1,0.2
13,Olivia Swenson,0.1,0.0,0.0,0.0,0.0,-,0.0,0.0,0.1,0.3,0.0
-,Team Total,23.0,12.8,12.8,2.2,31.8,.283,11.7,11.7,1.7,1.7,2.1
-,Opponent,20.6,13.2,13.2,2.9,34.2,.225,12.4,12.4,1.3,1.3,2.7
