team,season,league,record,conf_record
Nebraska Huskers,2025,NCAAVW-D1,33-1,20-0

stat_category,stat,team_per_set,opponent_per_set
ATTACK,Kills,14.7,10.2
ATTACK,Attack Error Total,3.9,6.0
ATTACK,Total Attempts,30.8,32.7
ATTACK,Hitting %,.351,.129
ATTACK,Kills Per Set,14.7,10.2
SET,Assists,13.5,9.6
SET,Assists Per Set,13.5,9.6
SET,Ball Handling Errors,0.0,0.0
SERVE,Service Aces,1.3,1.0
SERVE,Service Errors,2.0,2.4
SERVE,Service %,.918,.862
RECEPTIONS,Reception Errors,1.0,1.3
RECEPTIONS,Reception %,.934,.940
DEFENSE,Digs,13.6,10.1
DEFENSE,Dig Per Set,13.6,10.1
BLOCKING,Block Solos,0.5,0.3
BLOCKING,Block Assists,4.5,2.5
BLOCKING,Block Errors,0.4,0.4
BLOCKING,Total Team Blocks,2.7,1.5
BLOCKING,Blocks Per Set,2.7,1.6
