number,player,dig,dig_per_set,re,ra,re_per_set,bs,ba,blk,blk_per_set,be,bhe
4,Karis Willow,0.1,0.3,0.0,0.2,0.1,0.0,0.1,0.1,0.3,0.0,0.0
21,Izzy Starck,2.9,2.9,0.0,0.1,0.0,0.0,0.5,0.5,0.5,0.0,0.0
13,Emmi Sellman,1.3,1.3,0.3,5.4,0.3,0.0,0.3,0.3,0.3,0.0,0.0
8,Gabrielle Nichols,0.1,0.1,0.0,0.2,0.0,0.0,0.4,0.5,0.7,0.0,0.0
11,Joce Nathan,1.1,1.3,0.2,2.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0
44,Maggie Mendelson,0.2,0.2,0.0,0.2,0.0,0.0,0.7,0.8,0.8,0.0,0.0
18,Kennedy Martin,2.2,2.2,0.0,0.2,0.0,0.0,0.7,0.8,0.8,0.0,0.0
7,Addie Lyon,1.3,1.4,0.0,0.1,0.0,0.0,0.3,0.3,0.3,0.1,0.0
6,Kate Lally,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Caroline Jurevicius,0.2,0.2,0.2,2.0,0.3,0.0,0.3,0.3,0.4,0.0,0.0
10,Ava Jurevicius,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Jordan Hopp,0.3,0.3,0.0,0.3,0.0,0.1,0.8,0.9,0.9,0.1,0.0
3,Gillian Grimes,3.6,3.6,0.2,4.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0
9,Lexi Gin,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Ava Falduto,2.0,2.0,0.2,3.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0
27,Alexis Ewing,0.2,0.3,0.1,1.2,0.1,0.0,0.2,0.2,0.4,0.0,0.0
23,Catherine Burke,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.7,0.0,0.0
-,Team Total,12.9,12.9,1.3,19.3,1.3,0.3,3.6,2.1,2.1,0.3,0.0
-,Opponent,12.9,12.9,1.4,19.0,1.4,0.3,3.5,2.0,2.0,0.3,0.0
