number,player,dig,dig_per_set,re,ra,re_per_set,bs,ba,blk,blk_per_set,be,bhe
8,Morgan Van Wie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Aniya Warren,0.9,1.3,0.1,1.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0
12,Natalie Wardlow,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Una Vajagic,2.5,2.5,0.2,4.8,0.2,0.0,0.2,0.3,0.3,0.1,0.0
7,Kristen Simon,3.5,3.5,0.2,5.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0
6,Trinity Shadd-Ceres,0.2,0.4,0.0,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.0
19,Tosia Serafinowski,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.0,0.0
10,Madison Quest,0.6,0.7,0.0,0.1,0.0,0.0,0.3,0.3,0.4,0.0,0.0
2,Addy Horner,0.9,1.2,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.0,0.0
24,Charlie Fuerbringer,2.4,2.6,0.0,0.0,0.0,0.1,0.5,0.6,0.6,0.0,0.0
32,Grace Egan,2.3,2.3,0.1,3.3,0.1,0.0,0.5,0.5,0.5,0.1,0.0
15,Mimi Colyer,2.2,2.2,0.1,3.2,0.1,0.1,0.6,0.6,0.6,0.0,0.0
18,Maile Chan,0.1,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Jada Cerniglia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Carter Booth,0.3,0.3,0.0,0.1,0.0,0.1,1.0,1.2,1.2,0.1,0.0
17,Alicia Andrew,0.2,0.2,0.0,0.1,0.0,0.1,0.9,1.1,1.1,0.1,0.0
-,Team Total,14.2,14.2,0.8,17.6,0.8,0.4,4.0,2.4,2.4,0.4,0.0
-,Opponent,12.0,12.0,1.4,21.0,1.4,0.3,3.0,1.8,1.8,0.5,0.0
